[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
348   0x000074b0 0x100080b0 4   5    .text   ascii   DpE\f
349   0x000074d9 0x100080d9 5   6    .text   ascii   y#bAm
350   0x000074fa 0x100080fa 7   8    .text   ascii   -?Y"u+~
351   0x00007523 0x10008123 4   5    .text   ascii   LTr#
352   0x00007532 0x10008132 5   6    .text   ascii   rra\t 
353   0x0000758e 0x1000818e 8   10   .text   utf8    \b7٠0-FK9 blocks=Basic Latin,Arabic
354   0x000075a8 0x100081a8 4   6    .text   utf8    BÇ&7 blocks=Basic Latin,Latin-1 Supplement
355   0x000075be 0x100081be 4   5    .text   ascii   3EV:
356   0x0000760a 0x1000820a 4   6    .text   utf8    +bǷF blocks=Basic Latin,Latin Extended-B
357   0x00007644 0x10008244 4   5    .text   ascii   A7ip
358   0x0000766f 0x1000826f 4   6    .text   utf8    >iɓK blocks=Basic Latin,IPA Extensions
359   0x000077a0 0x100083a0 4   6    .text   utf8    \rǗL\n blocks=Basic Latin,Latin Extended-B
360   0x00007897 0x10008497 4   5    .text   ascii   "\v[H
361   0x000078f9 0x100084f9 5   6    .text   ascii   D7H$]
362   0x00007958 0x10008558 7   8    .text   ascii   HUx$tGE
363   0x000079ee 0x100085ee 4   5    .text   ascii   ;\r7y
364   0x00007a4b 0x1000864b 4   5    .text   ascii   Q'*U
365   0x00007a94 0x10008694 5   7    .text   utf8    `\tވ:U blocks=Basic Latin,Thaana
366   0x00007aca 0x100086ca 4   5    .text   ascii   tHPH
367   0x00007af1 0x100086f1 4   5    .text   ascii   L$ED
368   0x00007b02 0x10008702 4   6    .text   utf8    MMÍH blocks=Basic Latin,Latin-1 Supplement
369   0x00007b57 0x10008757 6   8    .text   utf8    D ΅DHI blocks=Basic Latin,Greek and Coptic
370   0x00007bbe 0x100087be 4   5    .text   ascii   DH{H
371   0x00007bd9 0x100087d9 4   5    .text   ascii   tH<L
372   0x00007bf2 0x100087f2 6   7    .text   ascii   tHH\fHH
373   0x00007c72 0x10008872 5   6    .text   ascii   &\n\fI+
374   0x00007c9c 0x1000889c 5   7    .text   utf8    ̋\vCH\a blocks=Combining Diacritical Marks,Basic Latin
375   0x00007cd6 0x100088d6 7   8    .text   ascii   \bXXl;HH
376   0x00007cf8 0x100088f8 5   6    .text   ascii   \rDWHI
377   0x00007e09 0x10008a09 5   8    .text   utf8    ﮯDGda blocks=Arabic Presentation Forms-A,Basic Latin
378   0x00007e3a 0x10008a3a 5   6    .text   ascii   -"%TU
379   0x00007e5a 0x10008a5a 4   5    .text   ascii   =WQ,
380   0x00007ed1 0x10008ad1 4   5    .text   ascii   9\tW&
381   0x00007f16 0x10008b16 4   5    .text   ascii   JFp9
382   0x00007f4b 0x10008b4b 7   8    .text   ascii   ( trHx1
383   0x00008023 0x10008c23 5   7    .text   utf8    ȅHHHE blocks=Latin Extended-B,Basic Latin
384   0x0000808c 0x10008c8c 4   5    .text   ascii   _HHD
385   0x000080b0 0x10008cb0 4   5    .text   ascii   bF;H
386   0x000080eb 0x10008ceb 4   5    .text   ascii   HLtH
387   0x00008102 0x10008d02 7   9    .text   utf8    UFW\rxEH
388   0x00008153 0x10008d53 4   6    .text   utf8    H+ȎT blocks=Basic Latin,Latin Extended-B
389   0x0000816c 0x10008d6c 4   5    .text   ascii   \rWLM
390   0x0000818d 0x10008d8d 4   5    .text   ascii   @lHH
391   0x00008238 0x10008e38 4   5    .text   ascii   \bED7
392   0x000082af 0x10008eaf 4   6    .text   utf8    ̋HHL blocks=Combining Diacritical Marks,Basic Latin
393   0x000082b8 0x10008eb8 4   6    .text   utf8    @ŃPv blocks=Basic Latin,Latin Extended-A
394   0x00008378 0x10008f78 4   6    .text   utf8    Ѐ_:~ blocks=Cyrillic,Basic Latin
395   0x000083fc 0x10008ffc 4   5    .text   ascii   \fY6r
396   0x00008413 0x10009013 6   8    .text   utf8    ȩ_o6/5 blocks=Latin Extended-B,Basic Latin
397   0x00008438 0x10009038 4   5    .text   ascii   F'V(
398   0x00008442 0x10009042 5   6    .text   ascii   50o+A
399   0x000084e9 0x100090e9 4   6    .text   utf8    XnŮN blocks=Basic Latin,Latin Extended-A
400   0x00008534 0x10009134 5   6    .text   ascii   @<0O\r
401   0x00008569 0x10009169 4   6    .text   utf8    Oݦ@Z blocks=Basic Latin,Arabic Supplement
402   0x0000861a 0x1000921a 4   5    .text   ascii   pv7W
403   0x00008635 0x10009235 4   5    .text   ascii   _k)v
404   0x0000868e 0x1000928e 6   9    .text   utf8    <͠Xgˮ7 blocks=Basic Latin,Combining Diacritical Marks,Spacing Modifier Letters
405   0x00008769 0x10009369 4   6    .text   utf8    $̍HM blocks=Basic Latin,Combining Diacritical Marks
406   0x000087f8 0x100093f8 5   7    .text   utf8    KHBFȍ blocks=Basic Latin,Latin Extended-B
407   0x0000880b 0x1000940b 5   6    .text   ascii   jHIHH
408   0x00008899 0x10009499 4   5    .text   ascii   W"uH
409   0x00008906 0x10009506 4   5    .text   ascii   $\v\bL
410   0x0000893d 0x1000953d 4   6    .text   utf8    آH\H blocks=Arabic,Basic Latin
411   0x000089a8 0x100095a8 4   5    .text   ascii   HuCO
412   0x000089cc 0x100095cc 6   7    .text   ascii   !Ab\v"\b
413   0x00008a00 0x10009600 4   5    .text   ascii   >ajQ
414   0x00008a30 0x10009630 5   7    .text   utf8    "jД0G blocks=Basic Latin,Cyrillic
415   0x00008a6f 0x1000966f 4   5    .text   ascii   Q;\rq
416   0x00008a99 0x10009699 4   6    .text   utf8    cΎ-h blocks=Basic Latin,Greek and Coptic
417   0x00008b15 0x10009715 7   8    .text   ascii   :Yho\fY
418   0x00008b5f 0x1000975f 7   9    .text   utf8    ˟fA4Cz; blocks=Spacing Modifier Letters,Basic Latin
419   0x00008b6f 0x1000976f 5   8    .text   utf8    *[q۬Ч blocks=Basic Latin,Arabic,Cyrillic
420   0x00008ba1 0x100097a1 5   6    .text   ascii   .-w%C
421   0x00008bc5 0x100097c5 4   5    .text   ascii   %Jd^
422   0x00008d04 0x10009904 4   5    .text   ascii   B\rE\e
423   0x00008d31 0x10009931 5   7    .text   utf8    ФP\btt blocks=Cyrillic,Basic Latin
424   0x00008d5a 0x1000995a 4   6    .text   utf8    `̍;H blocks=Basic Latin,Combining Diacritical Marks
425   0x00008d83 0x10009983 4   6    .text   utf8    ̍@\aH blocks=Combining Diacritical Marks,Basic Latin
426   0x00008d96 0x10009996 4   5    .text   ascii   cH>I
427   0x00008d9c 0x1000999c 7   8    .text   ascii   \rwu;XWH
428   0x00008dbf 0x100099bf 4   5    .text   ascii   C+$ 
429   0x00008dea 0x100099ea 4   6    .text   utf8    Ϊ\bH$ blocks=Greek and Coptic,Basic Latin
430   0x00008f3c 0x10009b3c 5   6    .text   ascii   K I\tA
431   0x00008f56 0x10009b56 6   7    .text   ascii   ]qHLYD
432   0x00008f74 0x10009b74 7   8    .text   ascii   G|\rX?07
433   0x00008fb5 0x10009bb5 4   6    .text   utf8    K\a\aƌ blocks=Basic Latin,Latin Extended-B
434   0x00008fdf 0x10009bdf 4   5    .text   ascii   @}@T
435   0x00008ff0 0x10009bf0 4   6    .text   utf8    ƩnmG blocks=Latin Extended-B,Basic Latin
436   0x00009025 0x10009c25 6   8    .text   utf8    *t^yՐQ blocks=Basic Latin,Armenian
437   0x00009186 0x10009d86 5   7    .text   utf8    2)QVƱ blocks=Basic Latin,Latin Extended-B
438   0x000091ca 0x10009dca 4   5    .text   ascii   "<8Q
439   0x00009277 0x10009e77 4   5    .text   ascii   H\bHH
440   0x00009281 0x10009e81 4   5    .text   ascii   NHHH
441   0x0000933d 0x10009f3d 5   6    .text   ascii   H\n.F\n
442   0x000093c0 0x10009fc0 6   7    .text   ascii   H\ab\b\[
443   0x00009452 0x1000a052 6   7    .text   ascii   !A\t4x0
444   0x000094a1 0x1000a0a1 6   7    .text   ascii   #HL)HU
445   0x00009501 0x1000a101 4   5    .text   ascii   u`\;
446   0x00009549 0x1000a149 4   5    .text   ascii   H\v`3
447   0x0000956a 0x1000a16a 4   5    .text   ascii   FHY$
448   0x000095f3 0x1000a1f3 4   6    .text   utf8    $ ̐] blocks=Basic Latin,Combining Diacritical Marks
449   0x00009678 0x1000a278 5   6    .text   ascii   1SK<=
450   0x000096ac 0x1000a2ac 4   5    .text   ascii   i3q[
451   0x000096d9 0x1000a2d9 4   5    .text   ascii   \r7Rb
452   0x0000970b 0x1000a30b 4   5    .text   ascii   //\t5
453   0x0000972d 0x1000a32d 4   5    .text   ascii   ukuN
454   0x0000979b 0x1000a39b 4   5    .text   ascii   LMfH
455   0x000097a4 0x1000a3a4 5   6    .text   ascii   d(=uD
456   0x000097ad 0x1000a3ad 4   7    .text   utf8    HC 荋 blocks=Basic Latin,CJK Unified Ideographs
457   0x000097c4 0x1000a3c4 5   6    .text   ascii   $HHuA
458   0x000097e1 0x1000a3e1 6   8    .text   utf8    $̸E(QA blocks=Basic Latin,Combining Diacritical Marks
459   0x000098e9 0x1000a4e9 4   5    .text   ascii   DHsi
460   0x00009953 0x1000a553 5   6    .text   ascii   HLHH;
461   0x00009970 0x1000a570 8   9    .text   ascii   s$$H5Hu$
462   0x00009985 0x1000a585 4   5    .text   ascii   CEHA
463   0x000099dc 0x1000a5dc 5   6    .text   ascii   HAjHL
464   0x000099e4 0x1000a5e4 9   11   .text   utf8    CUr@L\bV̏v blocks=Basic Latin,Combining Diacritical Marks
465   0x00009a78 0x1000a678 4   6    .text   utf8    ,cøt blocks=Basic Latin,Latin-1 Supplement
466   0x00009b01 0x1000a701 4   6    .text   utf8    \b7SC
467   0x00009b12 0x1000a712 4   5    .text   ascii   e \b4
468   0x00009b39 0x1000a739 4   5    .text   ascii   8&\3
469   0x00009bdc 0x1000a7dc 4   6    .text   utf8    ԝp2# blocks=Cyrillic Supplement,Basic Latin
470   0x00009c55 0x1000a855 5   6    .text   ascii   Lqgzq
471   0x00009c6e 0x1000a86e 6   7    .text   ascii   4k]z7\v
472   0x00009cbf 0x1000a8bf 5   6    .text   ascii   =ib~\t
473   0x00009d22 0x1000a922 6   7    .text   ascii   DHH\bE^
474   0x00009d95 0x1000a995 6   7    .text   ascii   ^AHGuH
475   0x00009d9f 0x1000a99f 4   6    .text   utf8    @3]ȶ blocks=Basic Latin,Latin Extended-B
476   0x00009dbe 0x1000a9be 4   5    .text   ascii   HDHH
477   0x00009e4e 0x1000aa4e 4   5    .text   ascii   Hu\rt
478   0x00009e8f 0x1000aa8f 4   5    .text   ascii   HNHX
479   0x00009ea8 0x1000aaa8 4   5    .text   ascii   HH0A
480   0x00009ef1 0x1000aaf1 4   5    .text   ascii   P!2v
481   0x00009f0c 0x1000ab0c 4   6    .text   utf8    >͝cM blocks=Basic Latin,Combining Diacritical Marks
482   0x00009f1b 0x1000ab1b 5   6    .text   ascii   yFrI 
483   0x00009f25 0x1000ab25 4   5    .text   ascii   V$9H
484   0x00009f8d 0x1000ab8d 4   5    .text   ascii   \DF*
485   0x00009fa3 0x1000aba3 4   5    .text   ascii   V+" 
486   0x00009faf 0x1000abaf 8   10   .text   utf8    Ĉ9Eq>y;v blocks=Latin Extended-A,Basic Latin
487   0x0000a00e 0x1000ac0e 5   9    .text   utf8    Ď˪0ڡk blocks=Latin Extended-A,Spacing Modifier Letters,Basic Latin,Arabic
488   0x0000a09a 0x1000ac9a 6   8    .text   utf8    \n˶mGM3 blocks=Basic Latin,Spacing Modifier Letters
489   0x0000a0ac 0x1000acac 4   5    .text   ascii   )I\e 
490   0x0000a0dd 0x1000acdd 4   5    .text   ascii   $D p
491   0x0000a100 0x1000ad00 4   5    .text   ascii   $fHQ
492   0x0000a209 0x1000ae09 6   8    .text   utf8    +ǍfH$x blocks=Basic Latin,Latin Extended-B
493   0x0000a275 0x1000ae75 4   6    .text   utf8    0H̃L blocks=Basic Latin,Combining Diacritical Marks
494   0x0000a2a5 0x1000aea5 4   5    .text   ascii   \bH(H
495   0x0000a2e3 0x1000aee3 4   6    .text   utf8    0Ѷj3 blocks=Basic Latin,Cyrillic
496   0x0000a31e 0x1000af1e 4   5    .text   ascii    WPD
497   0x0000a3ec 0x1000afec 4   5    .text   ascii   phLA
498   0x0000a429 0x1000b029 4   5    .text   ascii   -t.0
499   0x0000a467 0x1000b067 4   5    .text   ascii   \r&Yw
500   0x0000a4ad 0x1000b0ad 7   8    .text   ascii   ;npzMS\f
501   0x0000a561 0x1000b161 7   8    .text   ascii   'j BPa-
502   0x0000a56d 0x1000b16d 7   10   .text   utf8    {)Ŀ~Ӂw) blocks=Basic Latin,Latin Extended-A,Cyrillic
503   0x0000a586 0x1000b186 5   7    .text   utf8    8;Ѯ0q blocks=Basic Latin,Cyrillic
504   0x0000a60b 0x1000b20b 5   7    .text   utf8    Ħm[q' blocks=Latin Extended-A,Basic Latin
505   0x0000a63c 0x1000b23c 5   6    .text   ascii   <SD;D
506   0x0000a66e 0x1000b26e 6   7    .text   ascii   \bCsH C
507   0x0000a6ba 0x1000b2ba 4   5    .text   ascii   u EL
508   0x0000a752 0x1000b352 5   8    .text   utf8    $HDËÍ blocks=Basic Latin,Latin-1 Supplement
509   0x0000a762 0x1000b362 6   8    .text   utf8    \f̺, Mw blocks=Basic Latin,Combining Diacritical Marks
510   0x0000a78b 0x1000b38b 5   6    .text   ascii   HH+H\b
511   0x0000a8a6 0x1000b4a6 4   6    .text   utf8    ǲi(\f blocks=Latin Extended-B,Basic Latin
512   0x0000a8b4 0x1000b4b4 5   6    .text   ascii   - .`?
513   0x0000a933 0x1000b533 4   5    .text   ascii   uL+,
514   0x0000a98a 0x1000b58a 4   6    .text   utf8    a)/К blocks=Basic Latin,Cyrillic
515   0x0000a9b3 0x1000b5b3 5   6    .text   ascii   (+'w)
516   0x0000a9e3 0x1000b5e3 4   5    .text   ascii   gpnG
517   0x0000aa60 0x1000b660 4   5    .text   ascii   G>x(
518   0x0000aa85 0x1000b685 4   5    .text   ascii   *{^\n
519   0x0000aa98 0x1000b698 4   5    .text   ascii   ^;<\e
520   0x0000ab33 0x1000b733 5   6    .text   ascii   $tHuA
521   0x0000ab42 0x1000b742 4   5    .text   ascii   HUHH
522   0x0000ab53 0x1000b753 4   5    .text   ascii   I_H$
523   0x0000ab67 0x1000b767 4   5    .text   ascii   \nH(<
524   0x0000ac7c 0x1000b87c 5   6    .text   ascii   UtHuB
525   0x0000acf9 0x1000b8f9 4   5    .text   ascii    f9H
526   0x0000ad25 0x1000b925 5   6    .text   ascii   $V$ D
527   0x0000ad2f 0x1000b92f 5   6    .text   ascii   3\bHHD
528   0x0000ad64 0x1000b964 4   5    .text   ascii   x2O[
529   0x0000ade6 0x1000b9e6 5   6    .text   ascii   4]k-m
530   0x0000ae37 0x1000ba37 4   5    .text   ascii   Rs\tb
531   0x0000af27 0x1000bb27 4   5    .text   ascii   \t-Y4
532   0x0000af69 0x1000bb69 6   7    .text   ascii   mDY5m\t
533   0x0000af82 0x1000bb82 4   5    .text   ascii   Cqg5
534   0x0000afa3 0x1000bba3 4   5    .text   ascii   ITfp
535   0x0000afe3 0x1000bbe3 4   6    .text   utf8    Hƍ2A blocks=Basic Latin,Latin Extended-B
536   0x0000b033 0x1000bc33 4   5    .text   ascii   Hv$)
537   0x0000b059 0x1000bc59 4   5    .text   ascii   HH@B
538   0x0000b081 0x1000bc81 6   7    .text   ascii   4Nt@#E
539   0x0000b0df 0x1000bcdf 4   5    .text   ascii   8D\b\b
540   0x0000b161 0x1000bd61 5   6    .text   ascii   EAHML
541   0x0000b17e 0x1000bd7e 4   5    .text   ascii   (#E[
542   0x0000b1bb 0x1000bdbb 4   5    .text   ascii   ~Xr@
543   0x0000b20e 0x1000be0e 6   7    .text   ascii   uB\b\rRK
544   0x0000b2d3 0x1000bed3 4   5    .text   ascii   v=G2
545   0x0000b323 0x1000bf23 4   5    .text   ascii   ]B5,
546   0x0000b3d0 0x1000bfd0 5   7    .text   utf8    ۻ?LsU blocks=Arabic,Basic Latin
547   0x0000b3ee 0x1000bfee 4   5    .text   ascii   R5b5
548   0x0000b3f3 0x1000bff3 4   5    .text   ascii   \a$F0
549   0x0000b409 0x1000c009 5   6    .text   ascii   A \aGu
550   0x0000b4d2 0x1000c0d2 4   6    .text   utf8    (HLѶ blocks=Basic Latin,Cyrillic
551   0x0000b4ed 0x1000c0ed 10  12   .text   utf8    kE-ҋ0Hx\H] blocks=Basic Latin,Cyrillic
552   0x0000b539 0x1000c139 4   5    .text   ascii   DF\nH
553   0x0000b55c 0x1000c15c 4   6    .text   utf8    mΧHW blocks=Basic Latin,Greek and Coptic
554   0x0000b5cf 0x1000c1cf 4   5    .text   ascii   PHOt
555   0x0000b661 0x1000c261 4   5    .text   ascii   H0{$
556   0x0000b698 0x1000c298 5   8    .text   utf8    +9t쇤H blocks=Basic Latin,Hangul Syllables
557   0x0000b6f3 0x1000c2f3 6   7    .text   ascii   rjG\vM$
558   0x0000b731 0x1000c331 7   9    .text   utf8    $.\tH\rAH
559   0x0000b73a 0x1000c33a 4   7    .text   utf8    A\nC blocks=Private Use Area,Basic Latin
560   0x0000b746 0x1000c346 4   5    .text   ascii   @\b=A
561   0x0000b756 0x1000c356 5   6    .text   ascii   i"~W?
562   0x0000b7c2 0x1000c3c2 5   6    .text   ascii   Wb#uX
563   0x0000b7f0 0x1000c3f0 4   6    .text   utf8    NȜ F blocks=Basic Latin,Latin Extended-B
564   0x0000b83f 0x1000c43f 4   7    .text   utf8    n躩e+ blocks=Basic Latin,CJK Unified Ideographs
565   0x0000b854 0x1000c454 4   5    .text   ascii   3f2r
566   0x0000b861 0x1000c461 4   6    .text   utf8    '(Ƣ= blocks=Basic Latin,Latin Extended-B
567   0x0000b871 0x1000c471 5   7    .text   utf8    b<Olk
568   0x0000b8ac 0x1000c4ac 5   6    .text   ascii   -]1w\
569   0x0000b8e9 0x1000c4e9 4   5    .text   ascii   l^!{
570   0x0000b8f8 0x1000c4f8 4   5    .text   ascii   Anqm
571   0x0000b902 0x1000c502 4   6    .text   utf8    ǐ(l` blocks=Latin Extended-B,Basic Latin
572   0x0000b96e 0x1000c56e 4   5    .text   ascii   xUqc
573   0x0000b985 0x1000c585 4   5    .text   ascii   {ckU
574   0x0000bb72 0x1000c772 4   5    .text   ascii   \fI${
575   0x0000bb7e 0x1000c77e 7   8    .text   ascii   \bH[>\n$U
576   0x0000bb8a 0x1000c78a 4   5    .text   ascii   I\bD2
577   0x0000bbd9 0x1000c7d9 6   8    .text   utf8    3̉\eID\b blocks=Basic Latin,Combining Diacritical Marks
578   0x0000bc1e 0x1000c81e 4   5    .text   ascii   rY?\t
579   0x0000bc4c 0x1000c84c 4   5    .text   ascii   Hp(V
580   0x0000bc89 0x1000c889 4   5    .text   ascii   HHYH
581   0x0000bca9 0x1000c8a9 4   5    .text   ascii   \ntH 
582   0x0000bd15 0x1000c915 5   6    .text   ascii   t=H$]
583   0x0000bd41 0x1000c941 4   5    .text   ascii   /MHE
584   0x0000bd4a 0x1000c94a 4   5    .text   ascii   +%$H
585   0x0000bd6f 0x1000c96f 4   5    .text   ascii   FH!H
586   0x0000bd84 0x1000c984 5   8    .text   utf8    H̃|։t blocks=Basic Latin,Combining Diacritical Marks,Armenian
587   0x0000bdab 0x1000c9ab 4   5    .text   ascii   E\rt$
588   0x0000be6c 0x1000ca6c 4   5    .text   ascii   "Z/L
589   0x0000bf76 0x1000cb76 8   9    .text   ascii   r\at/\nQEF
590   0x0000bfad 0x1000cbad 5   6    .text   ascii   \bG #a
591   0x0000c08c 0x1000cc8c 5   7    .text   utf8    /ӳ1@e blocks=Basic Latin,Cyrillic
592   0x0000c0a3 0x1000cca3 6   7    .text   ascii   B>ay<^
593   0x0000c12c 0x1000cd2c 4   5    .text   ascii   AH`+
594   0x0000c163 0x1000cd63 5   6    .text   ascii   U\fH@v
595   0x0000c178 0x1000cd78 4   5    .text   ascii   H$H3
596   0x0000c1a0 0x1000cda0 4   5    .text   ascii   AMl3
597   0x0000c1ba 0x1000cdba 4   6    .text   utf8    ̸:S$ blocks=Combining Diacritical Marks,Basic Latin
598   0x0000c1d9 0x1000cdd9 5   6    .text   ascii   W\nLIH
599   0x0000c1e1 0x1000cde1 4   5    .text   ascii   eL P
600   0x0000c22a 0x1000ce2a 4   6    .text   utf8    {H7Ä blocks=Basic Latin,Latin-1 Supplement
601   0x0000c241 0x1000ce41 4   5    .text   ascii   E@0\n
602   0x0000c271 0x1000ce71 4   5    .text   ascii   Kt\r\r
603   0x0000c291 0x1000ce91 4   5    .text   ascii   <UAM
604   0x0000c2c5 0x1000cec5 4   5    .text   ascii   A;WD
605   0x0000c2d0 0x1000ced0 4   5    .text   ascii   H%U^
606   0x0000c2eb 0x1000ceeb 4   5    .text   ascii   HS0\b
607   0x0000c332 0x1000cf32 4   5    .text   ascii   CHA,
608   0x0000c346 0x1000cf46 4   5    .text   ascii   $QB 
609   0x0000c419 0x1000d019 4   5    .text   ascii   jn;@
610   0x0000c41e 0x1000d01e 4   5    .text   ascii   TrR*
611   0x0000c480 0x1000d080 7   10   .text   utf8    !ťPbPƞ: blocks=Basic Latin,Latin Extended-A,Latin Extended-B
612   0x0000c499 0x1000d099 6   7    .text   ascii   TnLiNd
613   0x0000c4ae 0x1000d0ae 4   6    .text   utf8    J.}ޕ blocks=Basic Latin,Thaana
614   0x0000c4b4 0x1000d0b4 4   5    .text   ascii   9Pq|
615   0x0000c4fb 0x1000d0fb 8   9    .text   ascii   |=.4}j\n/
616   0x0000c53f 0x1000d13f 5   6    .text   ascii   \avai@
617   0x0000c5cd 0x1000d1cd 7   8    .text   ascii   '9z*,T\v
618   0x0000c5e7 0x1000d1e7 4   5    .text   ascii   }azI
619   0x0000c60f 0x1000d20f 4   5    .text   ascii   t"o"
620   0x0000c642 0x1000d242 5   6    .text   ascii   H&XO\
621   0x0000c70f 0x1000d30f 5   6    .text   ascii   ,V<J1
622   0x0000c740 0x1000d340 4   5    .text   ascii   \tdL\
623   0x0000c7e0 0x1000d3e0 4   5    .text   ascii   YuHD
624   0x0000c866 0x1000d466 4   5    .text   ascii   \b+Xu
625   0x0000c88b 0x1000d48b 4   5    .text   ascii   ^DAy
626   0x0000c8d3 0x1000d4d3 5   6    .text   ascii   7\bu S
627   0x0000c914 0x1000d514 4   7    .text   utf8    B鍍\vH blocks=Basic Latin,CJK Unified Ideographs
628   0x0000c947 0x1000d547 6   7    .text   ascii   IuCH3b
629   0x0000c9b7 0x1000d5b7 5   6    .text   ascii   \8HXE
630   0x0000c9bd 0x1000d5bd 4   5    .text   ascii   xEY$
631   0x0000c9d6 0x1000d5d6 4   5    .text   ascii   AH ]
632   0x0000ca5b 0x1000d65b 4   5    .text   ascii   f\bfI
633   0x0000ca90 0x1000d690 4   5    .text   ascii   8|)8
634   0x0000cbd1 0x1000d7d1 4   5    .text   ascii   \t]9/
635   0x0000cbe1 0x1000d7e1 5   6    .text   ascii   uJ1-~
636   0x0000cc50 0x1000d850 6   7    .text   ascii   z\v~MoP
637   0x0000cc79 0x1000d879 5   7    .text   utf8     ԝ3D] blocks=Basic Latin,Cyrillic Supplement
638   0x0000cca1 0x1000d8a1 4   6    .text   utf8    \\tك\b blocks=Basic Latin,Arabic
639   0x0000cce3 0x1000d8e3 4   5    .text   ascii   H$TM
